"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.206611292E0,-7.584128138E-1,5.036911431E-1,6.108147651E-1,1.096352790E0
1.216668292E0,-8.258253631E-1,3.534162390E-1,5.066787779E-1,1.031316611E0
1.226724292E0,-1.197930180E0,-1.409003556E-2,3.754210657E-1,1.255458571E0
1.236781292E0,-1.651670607E0,-4.134379077E-1,7.543668330E-2,1.704299677E0
1.246838292E0,-2.027183474E0,-6.325415567E-1,-2.284343433E-1,2.135828623E0
1.256894292E0,-1.709719132E0,-1.644044083E-1,-4.083870828E-1,1.765488128E0
1.266951292E0,-5.774020207E-1,8.035875249E-1,1.315214217E-1,9.982203605E-1
1.277008292E0,8.785476601E-1,1.961133033E0,2.798243523E0,3.528180208E0
1.287065292E0,2.961404521E0,3.365312929E0,8.112718772E0,9.268843171E0
1.297121292E0,4.639029748E0,2.854029176E0,8.772150212E0,1.032553625E1
1.307178292E0,2.694057834E0,1.315492252E0,4.080167786E0,5.063223938E0
1.317235292E0,-2.677513137E-1,4.587164068E-1,3.405126035E-2,5.322320887E-1
1.327292292E0,-1.470729688E0,-3.223508593E-1,-1.846579939E0,2.382606422E0
1.337348292E0,-1.365286848E0,-7.049002656E-1,-1.873122790E0,2.422701291E0
1.347405292E0,-2.174699369E-1,-4.730748296E-1,-5.565303844E-1,7.621148448E-1
1.357462292E0,1.105854076E0,-1.061752036E-1,6.841616535E-1,1.304708235E0
1.367519292E0,1.323038376E0,8.682676703E-2,7.673803961E-1,1.531940633E0
1.377575292E0,5.036888042E-1,1.920719710E-1,1.954636484E-1,5.734109272E-1
1.387632292E0,-2.441797256E-2,5.001240492E-2,-3.347723919E-1,3.393671057E-1
1.397689292E0,-2.901631066E-1,2.977943078E-1,-4.733280140E-1,6.300122912E-1
1.407745292E0,-6.162845430E-1,4.901226792E-1,-9.375308633E-2,7.929795204E-1
1.417802292E0,-7.892983916E-1,5.774122533E-1,6.848884624E-1,1.193930093E0
1.427859292E0,-9.031667769E-1,5.809737924E-1,9.577750933E-1,1.438948888E0
